subject,run,trial_nr,n1,n2,p1,p2,risky_first,choice,rt
100,7.0,254.0,15.58,16.49,1.0,0.55,False,False,1.134343099999569
100,7.0,256.0,18.46,72.34,1.0,0.55,False,True,0.7099444999994375
100,8.0,225.0,25.34,33.69,1.0,0.55,False,False,0.7924151999995956
100,8.0,227.0,13.35,35.01,1.0,0.55,False,True,0.8514320000003863
100,8.0,229.0,14.14,36.28,1.0,0.55,False,True,0.933836600000177
100,8.0,231.0,13.75,40.69,1.0,0.55,False,True,0.6745819999996456
100,8.0,233.0,26.28,77.55,1.0,0.55,False,True,0.7217165000001842
100,8.0,235.0,5.09,18.65,1.0,0.55,False,True,0.6509887000001982
100,8.0,237.0,7.08,13.89,1.0,0.55,False,False,0.7808040999998411
100,8.0,239.0,22.43,52.05,1.0,0.55,False,True,0.6745863000005556
100,8.0,241.0,12.58,44.92,1.0,0.55,False,True,0.686418400000548
100,8.0,243.0,18.11,40.86,1.0,0.55,False,True,0.6627949999992779
100,8.0,245.0,12.85,49.61,1.0,0.55,False,True,0.7217835999999807
100,8.0,247.0,6.67,14.98,1.0,0.55,False,True,0.8514237999997931
100,8.0,249.0,16.27,27.84,1.0,0.55,False,False,0.7925090999997337
100,8.0,251.0,23.04,24.99,1.0,0.55,False,False,0.8279412000001685
100,8.0,253.0,8.14,8.34,1.0,0.55,False,False,0.8868507999995927
100,8.0,255.0,23.85,65.36,1.0,0.55,False,True,0.6981832000001305
100,8.0,226.0,71.17,24.26,0.55,1.0,True,False,0.733538899999985
100,8.0,228.0,47.74,12.19,0.55,1.0,True,False,0.7099532999991425
100,8.0,230.0,13.4,9.26,0.55,1.0,True,True,0.6510628000005454
100,8.0,232.0,31.16,19.71,0.55,1.0,True,True,0.7218112999998993
100,8.0,234.0,25.36,12.07,0.55,1.0,True,True,0.8161094999995839
100,8.0,236.0,8.15,5.81,0.55,1.0,True,True,0.7218320000001768
100,8.0,238.0,25.37,7.91,0.55,1.0,True,False,0.9009462999993048
100,8.0,240.0,52.01,19.2,0.55,1.0,True,False,0.7098461000005045
100,8.0,242.0,25.13,13.08,0.55,1.0,True,True,0.9694074000008186
100,8.0,244.0,54.49,20.98,0.55,1.0,True,False,1.0283294000000751
100,8.0,246.0,21.11,5.67,0.55,1.0,True,False,0.7571757999994588
100,8.0,248.0,40.3,19.27,0.55,1.0,True,True,1.29983859999993
100,8.0,250.0,101.56,26.18,0.55,1.0,True,False,0.7689929999996821
100,8.0,252.0,25.98,12.72,0.55,1.0,True,True,0.8044214999999895
100,8.0,254.0,20.21,7.58,0.55,1.0,True,False,0.9339103000002068
100,8.0,256.0,13.05,7.85,0.55,1.0,True,True,0.8043768999996246
101,1.0,225.0,13.55,18.23,1.0,0.55,False,True,0.8627937999999631
101,1.0,227.0,5.37,12.35,1.0,0.55,False,True,0.7803464000000986
101,1.0,229.0,12.99,47.81,1.0,0.55,False,True,1.0396458999998686
